ID,img_origin,placement,boil_nbr,pan_nbr,polygon
ID1H3GVrHhBEYVUo,D,roof,0,1,"[(2331, 922.0), (2464, 1055.0), (2193, 1330.0), (2060, 1194.0)]"
ID1HYQ8fifF,D,roof,0,1,"[(1634, 360.0), (1641, 392.0), (1585, 398.0), (1579, 367.0)]"
ID1HYQ8fifF,D,roof,0,1,"[(1747, 295.0), (1756, 337.0), (1730, 339.0), (1723, 299.0)]"
ID1HYQ8fifF,D,roof,0,6,"[(2412, 1328.0), (2577, 1290.0), (2632, 1492.0), (2466, 1524.0)]"
ID1HYQ8fifF,D,roof,0,1,"[(1663, 350.0), (1723, 341.0), (1730, 371.0), (1667, 377.0)]"
ID1HYQ8fifF,D,roof,0,2,"[(1518, 1572.0), (1502, 1488.0), (1618, 1466.0), (1636, 1552.0)]"
ID1HYQ8fifF,D,roof,0,6,"[(1557, 371.0), (1546, 318.0), (1728, 292.0), (1740, 342.0)]"
ID1HYQ8fifF,D,roof,0,1,"[(2479, 1165.0), (2488, 1153.0), (2513, 1166.0), (2503, 1176.0)]"
ID1HhS0aVS,D,openspace,0,1,"[(1606, 2079.0), (1639, 2217.0), (1441, 2272.0), (1408, 2140.0)]"
ID1InvEE,D,roof,0,1,"[(1740, 1269.0), (1773, 957.0), (2202, 1038.0), (2172, 1344.0)]"
ID1KezS4wA,D,roof,0,1,"[(1753, 1663.0), (2117, 1803.0), (1881, 2091.0), (1499, 1953.0)]"
ID1Nv5M78ll9,D,roof,0,2,"[(1476, 1144.0), (1856, 1060.0), (1956, 1324.0), (1560, 1412.0)]"
ID1RS4Lzf,S,S-unknown,1,0,"[(210, 137.0), (226, 104.0), (243, 104.0), (231, 136.0)]"
ID1SaKL,S,S-unknown,0,12,"[(134, 272.0), (146, 183.0), (209, 189.0), (204, 281.0)]"
ID1SsLzdU,D,roof,0,1,"[(1434, 2313.0), (1260, 2184.0), (1563, 1818.0), (1731, 1950.0)]"
ID1SsLzdU,D,roof,0,1,"[(2368, 730.0), (2247, 864.0), (2223, 844.0), (2343, 714.0)]"
ID1TBdGHluTn,D,roof,0,1,"[(2886, 1571.0), (3153, 1551.0), (3240, 1849.0), (2971, 1870.0)]"
ID1TDxkU5qVlgmTHC,S,S-unknown,1,0,"[(307, 350.0), (322, 361.0), (293, 404.0), (268, 383.0)]"
ID1TDxkU5qVlgmTHC,S,S-unknown,1,0,"[(333, 334.0), (366, 298.0), (385, 313.0), (358, 352.0)]"
ID1UesB,D,roof,0,2,"[(2804, 2554.0), (2334, 2618.0), (2286, 2298.0), (2740, 2218.0)]"
ID1UesB,D,roof,0,2,"[(2710, 2194.0), (3800, 1952.0), (3892, 2264.0), (2794, 2506.0)]"
ID1UesB,D,roof,0,2,"[(2738, 2210.0), (2232, 2250.0), (2162, 1628.0), (2666, 1598.0)]"
ID1UesB,D,roof,0,2,"[(2984, 1450.0), (3484, 1364.0), (3620, 1976.0), (3118, 2080.0)]"
ID1UesB,D,roof,0,2,"[(2836, 1348.0), (2930, 1290.0), (2988, 1350.0), (2906, 1416.0)]"
ID1UesB,D,roof,0,1,"[(2556, 1538.0), (2630, 1382.0), (2900, 1478.0), (2832, 1632.0)]"
ID1UesB,D,roof,0,2,"[(3576, 1716.0), (3504, 1378.0), (3906, 1308.0), (3988, 1642.0)]"
ID1VdwA1ZF0DoJRgm,D,roof,0,1,"[(1687, 1063.0), (1944, 1048.0), (1852, 1244.0), (1592, 1257.0)]"
ID1XELEenr0hra7n2,D,roof,0,1,"[(2119, 1014.0), (2141, 887.0), (2362, 1000.0), (2336, 1128.0)]"
ID1Xl0vuApYXm,D,openspace,0,21,"[(2208, 3417.0), (465, 2223.0), (603, 2130.0), (2337, 3303.0)]"
ID1Xl0vuApYXm,D,openspace,0,21,"[(318, 2301.0), (468, 2217.0), (2208, 3417.0), (2055, 3534.0)]"
ID1Xl0vuApYXm,D,openspace,0,21,"[(3810, 2712.0), (2025, 1590.0), (2148, 1518.0), (3912, 2613.0)]"
ID1Xl0vuApYXm,D,openspace,0,21,"[(3912, 2613.0), (2148, 1518.0), (2253, 1446.0), (4017, 2535.0)]"
ID1Xl0vuApYXm,D,openspace,0,21,"[(2619, 2874.0), (882, 1740.0), (1011, 1662.0), (2739, 2790.0)]"
ID1Xl0vuApYXm,D,openspace,0,23,"[(2685, 918.0), (4581, 2037.0), (4497, 2118.0), (2583, 990.0)]"
ID1Xl0vuApYXm,D,openspace,0,22,"[(2664, 1032.0), (4497, 2115.0), (4407, 2199.0), (2553, 1095.0)]"
ID1Xl0vuApYXm,D,openspace,0,21,"[(2739, 2790.0), (1014, 1674.0), (1143, 1584.0), (2853, 2691.0)]"
ID1XtPPo2lthuwO,D,roof,0,1,"[(1767, 1386.0), (1982, 1423.0), (1940, 1681.0), (1735, 1653.0)]"
ID1ZqlbiCeLSH5F,S,S-unknown,0,6,"[(209, 180.0), (217, 166.0), (280, 198.0), (272, 211.0)]"
ID1aSijLKq,D,roof,0,1,"[(2697, 1482.0), (2687, 1494.0), (2650, 1470.0), (2658, 1460.0)]"
ID1aSijLKq,D,roof,0,1,"[(2866, 1324.0), (2851, 1337.0), (2818, 1312.0), (2832, 1301.0)]"
ID1cIqOepfDfl,D,roof,0,1,"[(1586, 1235.0), (1790, 1157.0), (2039, 1364.0), (1817, 1450.0)]"
ID1cfXx1x0D4,S,S-unknown,1,0,"[(319, 157.0), (348, 129.0), (373, 153.0), (347, 185.0)]"
ID1chpQslYS2dBOc,D,roof,0,1,"[(1233, 911.0), (1425, 983.0), (1310, 1257.0), (1118, 1180.0)]"
ID1cnIiljuCJgr9,D,roof,0,1,"[(2000, 2225.0), (2088, 2203.0), (2126, 2231.0), (2038, 2253.0)]"
ID1cnIiljuCJgr9,D,roof,0,1,"[(1618, 2083.0), (1858, 2087.0), (1930, 2201.0), (1684, 2191.0)]"
ID1cnIiljuCJgr9,D,roof,0,1,"[(1574, 1895.0), (1674, 1963.0), (1464, 2072.0), (1376, 2005.0)]"
ID1cnIiljuCJgr9,D,roof,0,2,"[(1824, 818.0), (1986, 796.0), (2212, 1002.0), (2226, 996.0), (2400, 1144.0), (2238, 1190.0), (1822, 824.0)]"
ID1duopTDZOx,D,roof,0,2,"[(1746, 1392.0), (1992, 1419.0), (2013, 1425.0), (2262, 1488.0), (2220, 1644.0), (1980, 1605.0), (1728, 1569.0)]"
ID1eDVi,D,openspace,0,1,"[(507, 1886.0), (792, 1700.0), (863, 1930.0), (576, 2114.0)]"
ID1eDVi,D,openspace,0,1,"[(620, 2069.0), (743, 2204.0), (601, 2368.0), (480, 2225.0)]"
ID1ePKFk5a,D,roof,0,2,"[(2396, 1046.0), (2466, 1134.0), (2222, 1242.0), (2052, 1373.0), (1976, 1282.0), (2141, 1153.0), (2156, 1144.0)]"
ID1ePMzR9eiLc1,D,roof,0,1,"[(1336, 654.0), (1406, 664.0), (1402, 824.0), (1322, 816.0)]"
ID1ePMzR9eiLc1,D,roof,0,4,"[(406, 1152.0), (1392, 1216.0), (1362, 1564.0), (368, 1508.0)]"
ID1ePMzR9eiLc1,D,roof,0,4,"[(1396, 1560.0), (1432, 1198.0), (2454, 1278.0), (2420, 1646.0)]"
ID1ePMzR9eiLc1,D,roof,0,3,"[(2414, 1636.0), (2448, 1288.0), (3228, 1344.0), (3196, 1694.0)]"
ID1ePMzR9eiLc1,D,roof,0,5,"[(422, 1590.0), (1696, 1690.0), (1662, 2064.0), (384, 1956.0)]"
ID1emKaMYPCA0XY,D,r_openspace,1,0,"[(2468, 1512.0), (2492, 1684.0), (2388, 2024.0), (1996, 1956.0), (2096, 1604.0), (2128, 1456.0)]"
ID1emKaMYPCA0XY,D,r_openspace,0,1,"[(402, 1972.0), (330, 2018.0), (290, 1982.0), (364, 1936.0)]"
ID1emKaMYPCA0XY,D,r_openspace,0,1,"[(1632, 2312.0), (1556, 2392.0), (1400, 2364.0), (1472, 2296.0)]"
ID1emKaMYPCA0XY,D,r_openspace,0,1,"[(1512, 2452.0), (1444, 2660.0), (1284, 2624.0), (1360, 2428.0)]"
ID1emKaMYPCA0XY,D,r_openspace,0,1,"[(832, 3678.0), (812, 3722.0), (728, 3708.0), (750, 3662.0)]"
ID1hEwXTt,S,S-unknown,0,8,"[(78, 213.0), (93, 170.0), (141, 175.0), (139, 211.0)]"
ID1hEwXTt,S,S-unknown,0,8,"[(144, 252.0), (158, 207.0), (204, 212.0), (203, 247.0)]"
ID1hEwXTt,S,S-unknown,0,8,"[(208, 290.0), (222, 245.0), (268, 250.0), (268, 285.0)]"
ID1hEwXTt,S,S-unknown,0,8,"[(273, 326.0), (287, 281.0), (332, 286.0), (330, 320.0)]"
ID1hf7U,D,roof,0,2,"[(2169, 1677.0), (1950, 1896.0), (1863, 1875.0), (1317, 2418.0), (960, 2274.0), (1734, 1533.0)]"
ID1hf7U,D,roof,0,1,"[(2379, 1470.0), (2193, 1641.0), (1683, 1467.0), (1869, 1290.0)]"
ID1i5nL3vA1,D,roof,0,1,"[(1716, 1356.0), (1521, 1551.0), (1446, 1470.0), (1632, 1272.0)]"
ID1k6N0gT4MCw,D,roof,0,2,"[(2820, 1128.0), (3243, 1047.0), (3330, 1494.0), (2925, 1557.0)]"
ID1khpuS1,S,S-unknown,1,0,"[(254, 256.0), (273, 218.0), (305, 229.0), (291, 275.0)]"
ID1nSzffk7p9dLp4O,D,roof,0,2,"[(1659, 1497.0), (2034, 1083.0), (2577, 1128.0), (2199, 1548.0)]"
ID1nUI8USgH6O,S,S-unknown,0,3,"[(170, 367.0), (227, 347.0), (238, 380.0), (185, 398.0)]"
ID1nUI8USgH6O,S,S-unknown,0,3,"[(158, 337.0), (214, 316.0), (226, 349.0), (170, 364.0)]"
ID1o6DzW,D,roof,0,1,"[(1922, 1560.0), (1923, 1656.0), (1818, 1653.0), (1821, 1559.0)]"
ID1pHmA2,D,roof,0,1,"[(2418, 1310.0), (2528, 1110.0), (2760, 1118.0), (2660, 1324.0)]"
ID1pHmA2,D,roof,0,1,"[(2060, 1522.0), (2438, 1440.0), (2300, 1700.0), (1950, 1776.0)]"
ID1pVqEi,D,r_openspace,0,1,"[(1312, 1676.0), (1458, 1800.0), (1342, 1860.0), (1208, 1734.0)]"
ID1pVqEi,D,r_openspace,0,1,"[(1888, 1678.0), (2646, 1578.0), (2614, 1832.0), (1856, 1932.0)]"
ID1rP0NfbwT2NZ2K,D,roof,0,1,"[(2295, 2489.0), (2757, 2251.0), (2871, 2389.0), (2409, 2639.0)]"
ID1rP0NfbwT2NZ2K,D,roof,0,2,"[(1899, 1983.0), (2401, 1759.0), (2433, 1809.0), (2817, 1733.0), (2899, 1855.0), (2515, 1937.0), (2009, 2167.0)]"
ID1rP0NfbwT2NZ2K,D,roof,0,1,"[(924, 740.0), (1081, 932.0), (942, 1038.0), (782, 838.0)]"
ID1rP0NfbwT2NZ2K,D,roof,0,1,"[(2745, 2614.0), (2834, 2561.0), (2867, 2602.0), (2777, 2657.0)]"
ID1rttmRnL,D,roof,0,1,"[(2329, 1229.0), (2281, 1109.0), (2473, 1061.0), (2517, 1185.0)]"
ID1rttmRnL,D,roof,0,1,"[(2073, 1141.0), (2045, 1029.0), (2345, 985.0), (2389, 1081.0)]"
